Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 2/200] [Batch 20/27] [D loss: 0.692222] [G loss: 0.699620]
[Epoch 2/200] [Batch 21/27] [D loss: 0.685937] [G loss: 0.716221]
[Epoch 2/200] [Batch 22/27] [D loss: 0.689960] [G loss: 0.704570]
[Epoch 2/200] [Batch 23/27] [D loss: 0.682778] [G loss: 0.717206]
[Epoch 2/200] [Batch 24/27] [D loss: 0.686259] [G loss: 0.708109]
[Epoch 2/200] [Batch 25/27] [D loss: 0.685720] [G loss: 0.715106]
[Epoch 2/200] [Batch 26/27] [D loss: 0.689736] [G loss: 0.700349]
[Epoch 3/200] [Batch 0/27] [D loss: 0.688258] [G loss: 0.714848]
[Epoch 3/200] [Batch 1/27] [D loss: 0.688683] [G loss: 0.705780]
[Epoch 3/200] [Batch 2/27] [D loss: 0.713825] [G loss: 0.687781]
[Epoch 3/200] [Batch 3/27] [D loss: 0.686485] [G loss: 0.696151]
[Epoch 3/200] [Batch 4/27] [D loss: 0.682629] [G loss: 0.710719]
[Epoch 3/200] [Batch 5/27] [D loss: 0.682520] [G loss: 0.722325]
[Epoch 3/200] [Batch 6/27] [D loss: 0.684816] [G loss: 0.712743]
[Epoch 3/200] [Batch 7/27] [D loss: 0.678059] [G loss: 0.722070]
[Epoch 3/200] [Batch 8/27] [D loss: 0.682096] [G loss: 0.720639]
[Epoch 3/200] [Batch 9/27] [D loss: 0.687706] [G loss: 0.706610]
[Epoch 3/200] [Batch 10/27] [D loss: 0.698247] [G loss: 0.687800]
[Epoch 3/200] [Batch 11/27] [D loss: 0.685098] [G loss: 0.702822]
[Epoch 3/200] [Batch 12/27] [D loss: 0.680075] [G loss: 0.719120]
[Epoch 3/200] [Batch 13/27] [D loss: 0.681771] [G loss: 0.716417]
[Epoch 3/200] [Batch 14/27] [D loss: 0.687545] [G loss: 0.690491]
[Epoch 3/200] [Batch 15/27] [D loss: 0.683316] [G loss: 0.710903]
[Epoch 3/200] [Batch 16/27] [D loss: 0.683760] [G loss: 0.709925]
[Epoch 3/200] [Batch 17/27] [D loss: 0.679991] [G loss: 0.704399]
[Epoch 3/200] [Batch 18/27] [D loss: 0.668915] [G loss: 0.709790]
[Epoch 3/200] [Batch 19/27] [D loss: 0.676220] [G loss: 0.701290]
[Epoch 3/200] [Batch 20/27] [D loss: 0.675729] [G loss: 0.686963]
[Epoch 3/200] [Batch 21/27] [D loss: 0.689413] [G loss: 0.679879]
[Epoch 3/200] [Batch 22/27] [D loss: 0.667116] [G loss: 0.719540]
[Epoch 3/200] [Batch 23/27] [D loss: 0.663653] [G loss: 0.735329]
[Epoch 3/200] [Batch 24/27] [D loss: 0.671277] [G loss: 0.690324]
[Epoch 3/200] [Batch 25/27] [D loss: 0.697804] [G loss: 0.668114]
[Epoch 3/200] [Batch 26/27] [D loss: 0.681996] [G loss: 0.700789]
[Epoch 4/200] [Batch 0/27] [D loss: 0.684133] [G loss: 0.689511]
[Epoch 4/200] [Batch 1/27] [D loss: 0.696136] [G loss: 0.705395]
[Epoch 4/200] [Batch 2/27] [D loss: 0.676344] [G loss: 0.718818]
[Epoch 4/200] [Batch 3/27] [D loss: 0.682858] [G loss: 0.697196]
[Epoch 4/200] [Batch 4/27] [D loss: 0.678119] [G loss: 0.681120]
[Epoch 4/200] [Batch 5/27] [D loss: 0.682641] [G loss: 0.664000]
[Epoch 4/200] [Batch 6/27] [D loss: 0.662955] [G loss: 0.672742]
[Epoch 4/200] [Batch 7/27] [D loss: 0.694719] [G loss: 0.621902]
[Epoch 4/200] [Batch 8/27] [D loss: 0.683619] [G loss: 0.617353]
[Epoch 4/200] [Batch 9/27] [D loss: 0.682279] [G loss: 0.641225]
[Epoch 4/200] [Batch 10/27] [D loss: 0.688894] [G loss: 0.640514]
[Epoch 4/200] [Batch 11/27] [D loss: 0.698903] [G loss: 0.643454]
[Epoch 4/200] [Batch 12/27] [D loss: 0.680214] [G loss: 0.687524]
[Epoch 4/200] [Batch 13/27] [D loss: 0.679852] [G loss: 0.714602]
[Epoch 4/200] [Batch 14/27] [D loss: 0.682594] [G loss: 0.714786]
[Epoch 4/200] [Batch 15/27] [D loss: 0.685522] [G loss: 0.724215]
[Epoch 4/200] [Batch 16/27] [D loss: 0.674269] [G loss: 0.743650]
[Epoch 4/200] [Batch 17/27] [D loss: 0.675195] [G loss: 0.737943]
[Epoch 4/200] [Batch 18/27] [D loss: 0.673855] [G loss: 0.747444]
[Epoch 4/200] [Batch 19/27] [D loss: 0.661960] [G loss: 0.723477]
[Epoch 4/200] [Batch 20/27] [D loss: 0.693859] [G loss: 0.724881]
[Epoch 4/200] [Batch 21/27] [D loss: 0.701996] [G loss: 0.718675]
[Epoch 4/200] [Batch 22/27] [D loss: 0.680138] [G loss: 0.707078]
[Epoch 4/200] [Batch 23/27] [D loss: 0.667805] [G loss: 0.715731]
